Date,PPI Input Index,Fuel Input Index,Black Metal Input Index,Base Metal Input Index,Chemical Input Index,Wood and Pulp Input Index,Construction and Non-metal Material Input Index,Other Raw Material Input Index,Subsidiary Agricultural Products Input Index,Fabric Raw Material Input Index
2016-05-01,90.8018598653253,90.687467519399,78.3311856160256,82.8741804568741,100.778263552466,92.9922743019016,79.2592336562952,95.8748304542004,90.5424375959287,96.9672638551473
2016-04-01,90.5821375761117,90.189199176176,77.4910931250418,83.4461315620645,100.86168026255,93.0093696274596,78.862282803013,95.8878464856777,90.4329147352282,96.8926533740082
2016-03-01,90.1568361244227,89.2748052463879,75.8632149253726,83.9424910341799,100.062496847686,93.1216482616052,78.6340524609139,95.7899887824784,90.8050702699326,96.7924089855418
2016-02-01,89.7176899636532,88.4251664087997,74.9795852290103,83.2440754768792,98.8260847553945,92.9653488678832,78.545345681964,95.8070997683913,90.8272111038767,96.8178978850075
2016-01-01,89.8437146061001,89.1927930732899,75.2710844673664,83.0730379223032,98.4426054539862,92.8137014267935,78.7238452277877,95.8944385182371,90.8081315340748,96.6450140231458
2015-12-01,90.1049132953737,89.5814489669402,76.0245390490407,83.1096473253463,98.3304510336831,92.8586111762263,78.7278834286853,96.0302091384658,90.5674568368747,96.6569339070906
2015-11-01,90.4582697325125,89.944450187577,77.1626283014956,83.8402127898957,98.5444714979825,93.0753846907133,78.7367325344403,96.2387726158417,90.4224998533224,96.5985914992416
2015-10-01,90.9586711327566,90.2044119357681,77.9392926326094,85.2944714558262,99.0521237719745,93.3119043452145,79.0563648485442,96.5916040158358,90.9186534755631,96.9063581798372
2015-09-01,91.4793524392104,91.4073604963575,78.4340261485678,85.2499463543927,99.8844345753332,93.448613441025,79.4479784681892,96.7347953330444,91.6601264550113,97.3094803945407
2015-08-01,92.1301084692416,93.6405348687823,78.8011633240105,84.9062592462601,100.997143890943,93.440165738559,80.0406593189258,96.7445596446951,92.0244028806574,97.5019364755866
2015-07-01,92.9246686576464,95.8975443330719,79.3663563656465,86.0938209116828,102.537242144402,93.4289661898158,80.6964200446203,96.9290701061054,91.3285407520444,97.7779081730413
2015-06-01,93.658650990639,97.5159431062185,80.6221958803974,87.315187443395,103.767628825365,93.5662404247155,81.5007894455814,97.1132413136323,90.5118740190795,98.0663672595771
2015-05-01,94.1174856983142,98.108560568525,81.4762216503659,88.8334894178909,104.479161816895,93.6070246946849,82.234267682872,97.3213551403415,90.4821411312415,98.1064202283052
2015-04-01,94.4343378157427,98.9258741837468,82.378829618219,88.8795539351235,104.508916202846,93.6832349418282,82.7865721644021,97.4824523109823,90.5038028715813,98.1874156790655
2015-03-01,94.8628663981433,99.4303021224868,84.0992587885723,89.4903613187934,104.429414237098,93.6834928540153,83.1208626889135,97.7612679994131,90.5645348985337,98.2760532209549
2015-02-01,95.1950102115334,98.6915441554582,85.6457163713113,90.758851207787,104.387883615962,93.6518890197575,83.3738654591226,98.0098602549424,91.2435582760739,98.3826406680763
2015-01-01,96.0205049579283,100.551022010097,86.8588041857647,92.4282049014491,104.917656763445,93.4659954781167,83.3772300438239,98.2283537776898,92.0851949523779,98.3981389672061
2014-12-01,96.9821521209865,102.050433477165,87.9525670294418,94.2825946507391,106.395250605121,93.5363793172931,83.2481966069573,98.7110920966748,93.0021067075135,98.5109517925325
2014-11-01,97.463373583345,102.776579396074,88.6651147183729,94.782017437574,107.277897302573,93.6336086324816,83.2753163255261,98.9599964273083,93.3936412731413,98.6880451682976
